year,lfp_1,lfp_2,lfp_3,lfp_4,lfp_5
2000,1555798,4462991,3049640,1327865,5278223
2001,1615227,4511997,3050084,1337237,5280816
2002,1658138,4515657,3050791,1337291,5355408
2003,1674342,4516619,3052958,1337659,5362890
2004,1731461,4544021,3053790,1341479,5366739
2005,1750263,4554050,3130179,1346471,5375936
2006,1760898,4562733,5198773,2856642,6564644
2007,1776787,4582302,5212275,2857813,6569755
2008,1833475,4590720,5213098,2858049,6572216
2009,2071728,4626662,5225655,4408996,6667045
2010,2448445,4667065,5226997,4413629,6768728
2011,2483918,4794579,5229082,4417853,6770035
2012,2688519,6205684,5329618,4418491,6776259
2013,2988812,6458727,5384173,4420291,6825812
2014,3041364,7758832,5435078,4422749,6833757
2015,3086559,7795177,5438436,4422860,6834451
2016,3148806,8570000,5466766,4436232,7684531
2017,5260194,8628086,5492282,4436991,7835423
2018,5353193,9132399,6077405,4437069,8053662
2019,5385209,9145014,6175510,4452908,8292832
2020,5413198,9155641,6190208,4584063,8295354
2021,5486460,9168938,6190401,4584063,8997129
2022,5486476,9168938,6190401,4584063,9004867
2023,5486476,9168941,6325088,4588732,9166479
2024,5486489,9169292,6325088,4588732,9166479
2025,5486489,9169292,6325088,4588732,9166479
