year,lfp_1,lfp_2,lfp_3,lfp_4,lfp_5
2000,0,0,0,0,7106
2001,0,0,0,0,7146
2002,0,0,0,0,7152
2003,0,0,0,0,7325
2004,0,0,0,0,7325
2005,0,0,0,0,7325
2006,0,0,0,0,7325
2007,0,0,0,0,7325
2008,0,0,0,0,7325
2009,0,0,0,0,7325
2010,0,0,0,0,7325
2011,0,0,0,0,7325
2012,0,0,0,0,7325
2013,0,0,0,0,7325
2014,0,0,0,0,7325
2015,0,0,0,0,7325
2016,0,0,0,0,7325
2017,0,0,0,0,7325
2018,0,0,0,0,7325
2019,0,0,0,0,7325
2020,0,0,0,0,7325
2021,0,0,0,0,7325
2022,0,0,0,0,7325
2023,0,0,0,0,7325
2024,0,0,0,0,7325
2025,0,0,0,0,7325
