"","ColdCorals_allmpashabitat","ColdCorals_habitat","CoralReefs_allmpashabitat","CoralReefs_habitat","KnollsSeamounts_allmpashabitat","KnollsSeamounts_habitat","Mangroves_allmpashabitat","Mangroves_habitat","Saltmarsh_allmpashabitat","Saltmarsh_habitat","Seagrass_allmpashabitat","Seagrass_habitat"
"1",0,0,0,0,228,10,0,0,0,0,4,0
"2",2,315,20912.171875,4,0,1477,0,0,0,0,0,0
"3",0,0.987168848514557,0,0,0,0,0,0.987168848514557,0,0,0,0
"4",0,0,153859.90625,1966.77404785156,0,0,0,0,0,0,0,0
"5",0,0,0,0,131,62,0,0,0,0,6,0
"6",0,35,20906.115234375,0,0,0,0,0,0,0,0,0
"7",285,0,26453.009765625,0,0,0,0,0,0,0,0,0
"8",1,1707,349254.25,1,0,499,0,0,0,0,0,0
"9",0,0,863.088500976562,0,0,0,0,0,0,0,0,0
"10",9,0,325635.8125,8442.0927734375,0,8826.6142578125,0,0,0,0,0,0
"11",0,0,187700.15625,775,3521.26708984375,0,0,0,66,1,0,0
"12",0,0,14866.4755859375,0,0,13,0,0,0,0,0,0
"13",0,1.12956047058105,8825.7197265625,0,0,0,0,0,0,0,0,0
"14",175,13555.421875,1012675.25,2875,2,15040,0,639,3495.42114257812,4,0,419
"15",0,212.435974121094,393.438934326172,0,18.5230712890625,542.303833007812,0,0,0,0,0,0
"16",8,134,45562.8515625,1,0,87.6639175415039,0,25,4,0,0,3
"17",56.7855339050293,2674,201476.96875,3498,7013,13918,0,0,0,0,0,0
"18",8,79,233981.4375,0,0,0,0,0,0,0,0,0
"19",17,0,109720.390625,274.903167724609,0,0,0,0,0,0,0,0
"20",4,1482,508435.125,3,0,18,0,77,1157,0,0,1
"21",0,87,334144.3125,0,0,0,0,0,0,0,0,0
"22",2,567.422302246094,197644.234375,0,0,0,0,0,0,0,0,0
"23",4,0,116245.765625,234.379241943359,0,0,0,0,0,0,0,0
"24",1,454.884338378906,415105.78125,1842.11706542969,298.570495605469,272,0,6,60,0,0,0
"25",0,0,97529.1875,0,0,0,0,0,0,0,0,0
"26",33,626,155304.671875,1561,223,1805,0,5,21793.03515625,1,0,0
"27",0,7,127625.2734375,0,0,0,0,0,0,0,0,0
"28",0,0,77806.9296875,1730.75390625,0,0,0,0,0,0,0,0
"29",1,0,49499.640625,0,0,1,0,0,0,0,0,0
"30",0,0,109522.1640625,0,6.53608226776123,11,0,0,0,0,0,0
"31",8,161.065536499023,2535.63916015625,0,0,2,0,0,0,0,0,0
"32",0,78,476486.3125,0,0,4,0,4,10,0,0,0
"33",0.974877178668976,0,104636.640625,0,0,1,0,0,0,0,0,0
"34",4,0,128373.1953125,1252.31909179688,0,1484,0,0,4,0,0,0
"35",0,5,36601.10546875,0,0,3.98431611061096,0,0,0,0,0,0
"36",0,0,6206.68701171875,0,0,0,0,0,0,0,0,0
"37",7,3399.51904296875,465845.25,77,424,21001.15625,0,0,6.62124538421631,0,0,0
"38",0,0,238.475936889648,0,0,0,0,0,0,0,0,0
"39",6,0,62449.09765625,648,0,0,0,0,0,0,0,0
"40",0,9,5486.041015625,0,0,0,0,0,0,0,0,0
"41",461,3331,948041.625,4,1,596,165,2824,97563,0,0,1
"42",0,124,257961.796875,99,18330.025390625,2716,0,0,0,0,0,0
"43",4,0,55717.37109375,0,0,0,4,0,55655.453125,0,0,0
"44",0,0,60288.50390625,0,5,0,0,0,133,0,0,0
"45",1,0,46840.96875,2669.14526367188,0,15357.23046875,0,0,0,0,0,0
"46",3,187,26415.634765625,153,0,928,0,13,124,0,0,47
"47",37,0,325253.59375,4.06534862518311,12154.77734375,6,0,0,0,0,0,0
"48",2,3168,1277473.625,85,0,1598,0,0,60.9120140075684,0,0,0
"49",70,4507,365455.40625,335,1,1516,1,965,4309.1748046875,0,0,1
"50",117.761978149414,1574.9189453125,1800522.5,9809.8056640625,15303.4111328125,9790,1,303.918914794922,75828.015625,1,137,147
"51",129.411056518555,0,140560.9375,0,200.127670288086,1,0,0,3,0,0,0
"52",32,412.400207519531,167077.484375,0,0,0,0,0,0,0,0,0
"53",43,0,143187.453125,0,0,0,6,0,20175.498046875,0,0,0
"54",7,40,2083.36767578125,0,0,57,0,0,0,0,0,0
"55",0,132,18906.17578125,73,48.9770317077637,1098.84838867188,0,15,147,0,0,88
"56",1,0,252781.8125,0,0,0,0,0,0,0,0,0
"57",0,0,0,0,0,0,0,0,0,0,0,0
"58",354.618957519531,0,107568.078125,0,609,728.485229492188,0,0,0,0,0,0
"59",23,0,132643.21875,0,307,0,0,0,0,0,0,0
"60",4,188,231533.28125,2512.17553710938,0,1849.54248046875,0,0,0,0,0,0
"61",0,0,0,0,10,0,0,0,0,0,0,0
"62",0,0,90893.6328125,0,1,0,0,0,0,0,0,0
"63",34,0,95080.1015625,802,120,2,0,0,0,22,0,0
"64",0,612.460754394531,675684.3125,7,1,4435,0,0,0,0,0,0
"65",0,0,916.472045898438,0,0,0,0,0,0,0,0,0
"66",0,0,1378.32067871094,0,0,0,0,0,0,0,0,0
"67",0,0,18230.62890625,0,0,189.97477722168,0,0,0,0,0,0
"68",38,0,280208.03125,0,0,0,0,0,0,0,0,0
