"","ColdCorals_All_MPA","ColdCorals","CoralReefs_All_MPA","CoralReefs","KnollSeamounts_All_MPA","KnollSeamounts","mangroves_All_MPA","mangroves","Saltmarshes_All_MPA","Saltmarshes","Seagrasses_All_MPA","Seagrasses","ColdCorals_All_MPA_with_PS_mpashabitat","ColdCorals_PS_MPA","CoralReefs_All_MPA_with_PS_mpashabitat","CoralReefs_PS_MPA","KnollSeamounts_All_MPA_with_PS_mpashabitat","KnollSeamounts_PS_MPA","mangroves_All_MPA_with_PS_mpashabitat","mangroves_PS_MPA","Saltmarshes_All_MPA_with_PS_mpashabitat","Saltmarshes_PS_MPA","Seagrasses_All_MPA_with_PS_mpashabitat","Seagrasses_PS_MPA"
"1",0,0,0,0,0,0,0,0,197,228,7,10,0,0,0,0,0,0,0,0,4,4,0,0
"2",2,2,314,315,20810.623046875,20912.171875,4,4,0,0,1463,1477,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,15348.857421875,153859.90625,1487.57983398438,1966.77404785156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,88,131,16,62,0,0,0,0,0,0,0,0,6,6,0,0
"5",0,0,0,35,0,20906.115234375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,285,0,0,261.671508789062,26453.009765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,1,6,1707,0,349254.25,0,1,0,0,0,499,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,9,0,0,35563.984375,325635.8125,460,8442.0927734375,0,0,1,8826.6142578125,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,12788.970703125,187700.15625,430,775,3521.26708984375,3521.26708984375,0,0,0,0,0,0,66,66,1,1,0,0,0,0
"10",0,0,0,0,0,14866.4755859375,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
"11",7,175,2165,13555.421875,36019.6328125,1012675.25,1142,2875,0,2,4369,15040,0,0,488,639,3032.42114257812,3495.42114257812,4,4,0,0,372,419
"12",0,0,129.284088134766,212.435974121094,7,393.438934326172,0,0,9.52307224273682,18.5230712890625,122.557167053223,542.303833007812,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,8,0,134,5.06398248672485,45562.8515625,0,1,0,0,2,87.6639175415039,0,0,0,25,3,4,0,0,0,0,1,3
"14",0,56.7855339050293,739,2674,8343,201476.96875,1815,3498,6298,7013,6019,13918,0,0,0,0,0,0,0,0,0,0,0,0
"15",8,8,79,79,233807.546875,233981.4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,17,0,0,8902.3671875,109720.390625,145.209930419922,274.903167724609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,4,1397,1482,149299.4375,508435.125,3,3,0,0,6,18,0,0,77,77,1157,1157,0,0,0,0,1,1
"18",0,0,87,87,169436.15625,334144.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",3,4,0,0,3487,116245.765625,186.597930908203,234.379241943359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
