sovereign,territory,habitat,habitat_area,mpa,heavily_restricted,minimal_area_km2,high_area_km2,upgrade_gain_percent,opportunity_score,high_protection_percent,enabling_conditions,enabling_band,global_share
Netherlands,Sint-Eustatius,Warm-water corals,11.9344606399536,11.9344606399536,0,11.9344606399536,0,100.00000000000001,9.738519882202137,0,81.6,>=70,0.007999915493810343
Algeria,Algeria,Saltmarshes,1,1,0,1,0,100,0.45799999999999996,0,45.8,<50,4.4532124041496483e-4
Colombia,Quitasueño Bank,Cold-water corals,1,1,0,1,0,100,0.52,0,52,50-69,0.007236782490726899
Colombia,Quitasueño Bank,Warm-water corals,254,254,0,254,0,100,132.08,0,52,50-69,0.17026144680768138
Colombia,Serrana Bank,Cold-water corals,4,4,0,4,0,100,2.08,0,52,50-69,0.028947129962907596
Colombia,Serrana Bank,Warm-water corals,150,150,0,150,0,100,78,0,52,50-69,0.10054809850847325
East Timor,Oecusse,Mangroves,1,1,0,1,0,100,0.518,0,51.8,50-69,6.854340481824232e-4
Ecuador,Galapagos,Cold-water corals,53,53,0,53,0,100,31.563401913875598,0,59.55358851674641,50-69,0.3835494720085257
Ecuador,Galapagos,Warm-water corals,123,123,0,123,0,100,73.25091387559809,0,59.55358851674641,50-69,0.08244944077694806
Ecuador,Galapagos,Saltmarshes,9,9,0,9,0,100,5.359822966507178,0,59.55358851674641,50-69,0.004007891163734683
Ecuador,Galapagos,Mangroves,56,56,0,56,0,100,33.35000956937799,0,59.55358851674641,50-69,0.038384306698215694
France,Collectivity of Saint Martin,Warm-water corals,3,3,0,3,0,100,0,0,NA,Data missing,0.002010961970169465
France,Europa Island,Warm-water corals,14,14,0,14,0,100,11.382,0,81.3,>=70,0.00938448919412417
France,Europa Island,Mangroves,8,8,0,8,0,100,6.504,0,81.3,>=70,0.005483472385459385
France,Kerguélen,Cold-water corals,1,1,0,1,0,100,0.8132720588235294,0,81.32720588235294,>=70,0.007236782490726899
France,Martinique,Cold-water corals,6,6,0,6,0,100,4.491333333333333,0,74.85555555555555,>=70,0.0434206949443614
France,Mayotte,Cold-water corals,2,2,0,2,0,100,1.4762608695652175,0,73.81304347826088,>=70,0.014473564981453798
France,Mayotte,Mangroves,4,4,0,4,0,100,2.952521739130435,0,73.81304347826088,>=70,0.0027417361927296927
France,Saint-Barthélemy,Cold-water corals,1,1,0,1,0,100,0.6920000000000001,0,69.2,50-69,0.007236782490726899
France,Saint-Barthélemy,Warm-water corals,12,12,0,12,0,100,8.304,0,69.2,50-69,0.00804384788067786
France,Saint-Barthélemy,Seagrasses,20,20,0,20,0,100,13.840000000000002,0,69.2,50-69,0.006337896690686772
Guinea,Guinea,Cold-water corals,1,1,0,1,0,100,0.33682500000000004,0,33.682500000000005,<50,0.007236782490726899
Iran,Iran,Mangroves,99,99,0,99,0,100,44.6034424778761,0,45.053982300884954,<50,0.0678579707700599
Japan,Japan,Mangroves,12,12,0,12,0,100,9.204102439024389,0,76.70085365853659,>=70,0.008225208578189078
Japan,Kuril Islands,Seagrasses,1,1,0,1,0,100,0.767,0,76.7,>=70,3.1689483453433857e-4
Kiribati,Phoenix Group,Warm-water corals,87,87,0,87,0,100,56.67101234567902,0,65.13909465020576,50-69,0.05831789713491448
Lithuania,Lithuania,Saltmarshes,1,1,0,1,0,100,0.636,0,63.6,50-69,4.4532124041496483e-4
Madagascar,Glorioso Islands,Warm-water corals,165,165,0,165,0,100,82.335,0,49.9,<50,0.11060290835932057
